name,old fee,new fee
Hvitløk,15.90,10.00
Kyllingfilet,114.00,79.90
Hverdagsgrovt,18.50,10.00
Våtservietter,19.90,10.00
Bakeark,11.50,10.00
Pariser,23.90,10.00
Tomater Knuste,17.50,10.00
Koljekaker,15.90,10.00
Peanøtter,15.90,10.00
Rislunsj,12.00,10.00
Donuts med Sjokolade/Kokos med Vaniljekrem,20.50,10.00
Kornbrød,43.00,25.00
Urte,12.90,10.00
Fiskekaker,15.90,10.00
Donut,20.50,10.00
Rislunsj,12.00,10.00
Eplejuice,25.50,10.00
Kremgo,17.90,10.00
Popcorn Poppet,21.90,10.00
Urte,12.90,10.00
Urte,12.90,10.00
Snickers,20.90,10.00
Chilinøtter,22.90,10.00
Go Morgen Yoghurt,13.90,10.00
